0.0100,yes,33.00
0.0100,yes,117.12
0.0100,yes,2.00
0.0100,yes,2.00
0.0100,yes,10.00
0.0100,yes,1.00
0.0100,yes,10.00
0.0100,yes,81.38
0.0100,yes,5.00
0.0100,yes,5.13
0.0100,yes,2.00
0.0100,yes,5.00
0.0100,yes,4.87
0.0100,yes,3.00
0.0100,yes,5.00
0.0100,yes,5.00
0.0100,yes,4.00
0.0200,yes,7.00
0.0200,yes,9.11
0.0200,yes,1.00
0.0200,yes,25.00
0.0100,yes,5.00
0.0100,no,1.00
0.0100,no,1.00
0.0100,no,24.00
0.0100,no,5.00
0.0100,no,1.00
0.0100,no,1.00
0.0100,no,0.46
0.0100,no,1.54
0.0100,no,8.00
0.0100,no,11.00
0.0200,yes,8.00
0.0200,yes,9.00
0.0100,no,17.54
0.0100,no,13.00
0.0200,yes,17.00
0.0100,yes,8.00
0.0100,yes,2.00
0.0100,yes,13.00
0.0100,yes,5.00
0.0100,yes,6.00
0.0100,yes,10.00
0.0100,yes,5.00
0.0100,yes,4.58
0.0100,yes,4.00
0.0100,yes,5.00
0.0100,yes,13.00
0.0100,yes,10.00
0.0100,yes,9.00
0.0100,yes,2.00
0.0100,yes,4.42
0.0100,yes,2.00
0.0100,yes,5.00
0.0100,yes,1.72
0.0100,yes,18.26
0.0100,yes,5.00
0.0100,yes,0.58
0.0100,yes,5.00
0.0100,yes,5.00
0.0100,yes,9.90
0.0100,yes,14.00
0.0100,yes,5.00
0.0100,yes,5.00
0.0100,yes,1.86
0.0100,yes,6.00
0.0100,yes,1.68
0.0200,yes,5.00
0.0200,yes,4.00
0.0200,yes,95.00
0.0200,yes,1.00
0.0100,no,200.00
0.0100,no,91.00
0.0100,no,107.03
0.0100,no,30.00
0.0100,no,100.00
0.0100,no,100.00
0.0200,yes,6.00
0.0200,yes,46.00
0.0200,yes,10.00
0.0100,no,274.97
0.0100,no,18.00
