event,series,rungs,mean_ask_c,mean_spread_c,winners,mean_pnl_c
KXWTAMATCH-26AUG02JONTAR,KXWTAMATCH,2,50.5,1.0,1,-2.50
KXWTAMATCH-26AUG02WANKAS,KXWTAMATCH,2,51.0,2.0,1,-3.00
KXWTAMATCH-26AUG03KORKUD,KXWTAMATCH,2,50.5,1.0,1,-2.50
KXWTAMATCH-26AUG04MERBON,KXWTAMATCH,2,50.0,1.0,1,-2.00
KXWTAMATCH-26AUG04RAKSIN,KXWTAMATCH,2,50.5,1.0,1,-2.50
KXWTAMATCH-26AUG06SVIPOT,KXWTAMATCH,2,50.5,1.0,1,-2.50
KXWTAMATCH-26AUG09SAMRYB,KXWTAMATCH,2,50.5,1.0,1,-2.50
KXWTAMATCH-26AUG11IATLIU,KXWTAMATCH,2,88.0,79.5,1,-39.00
KXWTAMATCH-26JUL12LEPBUR,KXWTAMATCH,2,90.0,79.0,1,-41.00
KXWTAMATCH-26JUL15KREMON,KXWTAMATCH,2,50.5,1.5,1,-1.50
KXWTAMATCH-26JUL18TAUKRE,KXWTAMATCH,2,52.5,6.0,1,-4.50
KXWTAMATCH-26JUL20BLIBEJ,KXWTAMATCH,2,51.0,1.0,1,-3.00
KXWTAMATCH-26JUL20PARHON,KXWTAMATCH,2,51.0,2.5,1,-3.00
KXWTAMATCH-26JUL20SEISNI,KXWTAMATCH,2,51.0,2.0,1,-3.00
KXWTAMATCH-26JUL22CHAKRA,KXWTAMATCH,2,82.0,63.0,1,-33.50
KXWTAMATCH-26JUL24BOUVAL,KXWTAMATCH,2,50.5,1.0,1,-2.50
KXWTAMATCH-26JUL27SONBRA,KXWTAMATCH,2,51.0,1.5,1,-2.00
KXWTAMATCH-26JUL27ZAKFRU,KXWTAMATCH,2,63.0,29.0,1,-15.00
KXWTAMATCH-26JUL30SHNPOT,KXWTAMATCH,2,50.5,1.0,1,-2.50
