0.0100,yes,467.59
0.0100,yes,93.51
0.0100,yes,25.00
0.0100,yes,2.00
0.0100,yes,14.00
0.0100,yes,3.00
0.0100,no,25.00
0.0100,no,63.00
0.0100,no,100.00
0.0100,no,30.00
0.0100,no,125.91
0.0100,no,6.00
0.0100,no,27.00
0.0100,no,12.00
0.0100,no,50.00
0.0100,no,1.48
0.0100,no,2.00
0.0100,no,3.00
0.0100,no,1.00
0.0100,no,5.00
0.0100,no,21.00
0.0100,no,4.93
0.0100,no,0.27
0.0100,no,1.00
0.0100,no,5.00
0.0100,no,5.00
0.0100,no,20.00
0.0100,no,5.00
0.0100,no,5.00
0.0200,yes,97.00
0.0200,yes,3.00
0.0200,yes,100.00
0.0100,no,0.01
0.0100,no,0.04
0.0200,yes,1.00
0.0100,no,198.85
0.0200,no,24.00
0.0200,yes,10.00
0.0100,no,0.51
