0.0100,yes,6.54
0.0100,yes,935.19
0.0100,yes,93.51
0.0100,yes,467.59
0.0100,yes,187.03
0.0100,yes,1.00
0.0100,yes,2.00
0.0100,yes,33.00
0.0100,yes,467.59
0.0100,yes,33.00
0.0100,yes,187.03
0.0100,yes,93.51
0.0100,yes,3.63
0.0100,yes,4.00
0.0100,yes,2.00
0.0100,yes,27.00
0.0100,yes,10.70
0.0100,no,1.00
0.0100,no,62.44
0.0100,no,30.00
0.0100,no,1.00
0.0100,no,100.00
0.0100,no,4.00
0.0100,no,4.00
0.0100,no,11.00
0.0100,no,59.00
0.0100,no,91.00
0.0100,no,336.51
0.0200,yes,1.00
0.0200,yes,4.00
0.0100,no,5.00
0.0100,no,21.00
0.0200,no,5.09
0.0200,no,15.27
0.0300,yes,20.00
0.0200,no,1.00
0.0200,no,1.01
0.0300,yes,10.00
0.0300,yes,12.00
0.0200,no,10.18
0.0400,yes,10.00
0.0300,yes,12.00
0.0300,yes,4.00
0.0400,yes,8.03
0.0200,yes,3.56
0.0200,yes,4.00
0.0200,yes,25.40
0.0200,yes,1.00
0.0200,yes,2.00
0.0200,yes,1.00
0.0200,yes,2.00
0.0200,no,63.60
0.0200,no,1.00
0.0200,no,100.00
0.0200,no,4.00
0.0300,no,4.00
0.0300,no,1.00
0.0400,no,1.00
0.0400,no,12.00
0.0400,no,1.00
0.0300,no,4.51
0.0300,no,4.54
0.0500,no,1.90
0.0400,no,2.27
0.0400,no,4.00
0.0500,no,4.00
0.0500,no,4.00
0.0400,no,0.18
0.0600,yes,6.17
0.0600,yes,1.02
0.0600,yes,4.00
0.0600,yes,4.00
0.0600,yes,8.33
0.0600,yes,6.00
0.0700,yes,12.87
0.0600,yes,18.00
0.0500,yes,4.00
0.0500,yes,1.00
0.0400,no,3.59
0.0400,no,0.27
0.0500,no,1.54
0.0500,no,1.00
0.0400,no,4.00
0.0500,no,3.00
0.0400,no,3.41
0.0400,no,3.59
0.0600,yes,16.57
0.0600,yes,4.00
0.0600,yes,26.91
0.0600,yes,30.70
0.0400,no,3.54
0.0400,no,4.00
0.0400,no,3.46
0.0400,no,1.09
0.0400,no,4.00
0.0400,no,4.00
0.0400,no,1.91
0.0400,no,5.00
0.0500,no,1.00
0.0400,no,2.63
0.0500,no,8.00
0.0600,yes,4.00
0.0600,yes,4.00
0.0600,yes,0.55
0.0600,yes,12.57
0.0600,yes,59.30
0.0600,yes,18.00
0.0600,yes,1.58
0.0600,yes,78.00
0.0600,yes,4.00
0.0600,yes,18.00
0.0500,no,1.00
0.0500,no,31.00
0.0500,no,2.00
0.0500,no,9.00
0.0500,yes,4.00
0.0500,yes,4.00
0.0500,yes,71.00
0.0400,no,0.72
0.0400,no,0.28
0.0400,no,0.91
0.0400,no,0.09
0.0400,no,1.81
0.0400,no,0.19
0.0500,no,4.00
0.0600,yes,50.00
0.0600,yes,4.00
0.0500,yes,4.00
0.0500,yes,4.00
0.0500,yes,1.00
0.0600,yes,8.33
0.0600,yes,5.00
0.0500,yes,10.00
0.0500,yes,10.00
0.0600,yes,20.54
0.0500,yes,75.00
0.0400,no,1.00
0.0400,yes,4.00
0.0400,no,1.00
0.0400,no,1.03
0.0600,yes,1.00
0.0600,yes,50.00
0.0700,yes,27.55
0.0600,yes,12.00
0.0600,yes,8.96
0.0700,yes,100.00
0.0500,yes,4.00
0.0600,yes,10.33
0.0400,yes,4.00
0.0500,yes,1.00
0.0400,yes,4.00
0.0500,yes,5.00
0.0500,yes,25.00
0.0400,yes,4.00
0.0500,yes,1.00
0.0300,no,4.95
