1780664400|0.0700|0.0800|267.08
1780668000|0.0800|0.0900|10.44
1780671600|0.0800|0.0900|0.00
1780675200|0.0800|0.0900|9.00
1780678800|0.0800|0.0900|92.00
1780682400|0.0800|0.0900|0.00
1780686000|0.0800|0.0900|0.00
1780689600|0.0700|0.0800|34.22
1780693200|0.0700|0.0800|0.00
1780696800|0.0700|0.0800|0.00
1780700400|0.0700|0.0800|5.00
1780704000|0.0700|0.0800|8.00
1780707600|0.0700|0.0800|120.79
1780711200|0.0700|0.0800|16.00
1780714800|0.0700|0.0800|0.00
1780718400|0.0700|0.0800|61.48
1780722000|0.0800|0.0900|10.00
1780725600|0.0800|0.1000|0.00
1780729200|0.0900|0.1200|1904.35
1780732800|0.1000|0.1100|85.57
1780736400|0.1000|0.1100|77.92
1780740000|0.1000|0.1100|76.92
1780743600|0.0900|0.1100|17.10
1780747200|0.0800|0.1100|1600.00
1780750800|0.0900|0.1000|1.00
1780754400|0.1000|0.1100|118.57
1780758000|0.1000|0.1100|29.27
1780761600|0.0700|0.0900|1.00
1780765200|0.1000|0.1100|8.00
1780768800|0.0900|0.1100|270.33
1780772400|0.0900|0.1000|49.03
1780776000|0.0900|0.1000|183.03
1780779600|0.0900|0.1000|186.03
1780783200|0.0900|0.1000|0.00
1780786800|0.0900|0.1000|94.07
1780790400|0.0900|0.1000|112.87
1780794000|0.1000|0.1100|544.42
1780797600|0.1000|0.1100|0.00
1780801200|0.1000|0.1100|96.26
1780804800|0.1000|0.1100|85.57
1780808400|0.1000|0.1100|171.15
1780812000|0.1000|0.1100|160.00
1780815600|0.1000|0.1100|0.00
1780819200|0.1000|0.1100|92.99
1780826400|0.1000|0.1100|124.00
1780830000|0.1000|0.1100|0.00
1780833600|0.0900|0.1000|287.00
1780837200|0.0900|0.1000|4.70
1780840800|0.0700|0.0800|1161.03
1780844400|0.0800|0.0900|790.79
1780848000|0.0800|0.0900|0.00
1780851600|0.0800|0.0900|0.00
1780855200|0.0800|0.0900|65.00
1780858800|0.0700|0.0800|2227.69
1780862400|0.0700|0.0800|175.00
1780866000|0.0700|0.0800|51.00
1780869600|0.0700|0.0800|106.00
1780873200|0.0700|0.0800|0.00
1780876800|0.0700|0.0800|352.90
1780880400|0.0700|0.0800|67.64
1780884000|0.0700|0.0800|0.00
1780887600|0.0700|0.0800|0.00
1780891200|0.0700|0.0800|0.00
1780898400|0.0700|0.0800|0.00
1780905600|0.0700|0.0800|27.51
1780909200|0.0500|0.0600|1052.00
1780912800|0.0500|0.0600|0.00
1780920000|0.0500|0.0600|0.00
1780923600|0.0500|0.0600|7.22
1780927200|0.0500|0.0600|98.00
1780930800|0.0600|0.0700|556.00
1780934400|0.0700|0.0800|2061.87
1780938000|0.0800|0.0900|3064.54
1780941600|0.0800|0.0900|44.00
1780945200|0.0800|0.0900|801.03
1780948800|0.0800|0.0900|1000.00
1780952400|0.0900|0.1000|312.00
1780956000|0.0800|0.1000|182.80
1780959600|0.0800|0.1000|1491.42
1780963200|0.0900|0.1000|181.19
1780966800|0.0900|0.1000|251.29
1780970400|0.1000|0.1100|2081.44
1780974000|0.1000|0.1100|17.10
1780977600|0.1200|0.1300|2240.78
1780981200|0.1100|0.1200|566.11
1780984800|0.1100|0.1300|418.76
1780988400|0.1200|0.1300|118.89
1780992000|0.1200|0.1300|1.37
1780995600|0.0600|0.0700|2058.58
1780999200|0.0700|0.0800|91.70
1781002800|0.0700|0.0800|219.43
1781006400|0.0700|0.0800|184.62
1781010000|0.0600|0.0700|2435.81
1781013600|0.0700|0.0800|1583.00
1781017200|0.0700|0.0800|352.68
1781020800|0.0700|0.0800|3158.91
1781024400|0.0700|0.0800|3908.40
1781028000|0.0700|0.0800|3217.04
1781031600|0.0700|0.0800|2196.99
1781035200|0.0900|0.1000|1609.71
1781038800|0.1000|0.1100|940.14
1781042400|0.1100|0.1200|2244.67
1781046000|0.1000|0.1100|629.49
1781049600|0.1300|0.1500|2837.75
1781053200|0.0700|0.1200|2209.11
1781056800|0.1200|0.1500|2102.95
1781060400|0.0900|0.1300|2274.95
1781064000|0.1200|0.1300|754.38
1781067600|0.1100|0.1200|1263.07
1781071200|0.1000|0.1200|2411.92
1781074800|0.1000|0.1600|1647.82
1781078400|0.1000|0.1300|325.01
1781082000|0.1200|0.1600|1354.71
1781085600|0.1100|0.1400|102.30
1781089200|0.0800|0.1100|1398.90
1781092800|0.1700|0.1900|3589.88
1781096400|0.0000|1.0000|1540.98
