0.0100,yes,5.00
0.0100,yes,1.00
0.0100,yes,1.00
0.0100,yes,1.00
0.0200,yes,4.00
0.0100,no,1.00
0.0100,no,32.00
0.0100,no,3.00
0.0200,no,49.90
0.0200,no,0.10
0.0200,yes,50.00
0.0200,no,0.90
0.0200,no,66.00
0.0200,no,30.00
0.0200,no,0.10
0.0200,yes,3.00
0.0200,yes,4.50
0.0200,yes,1.00
0.0100,no,25.00
0.0100,no,8.11
0.0100,no,4.00
0.0100,no,0.17
0.0100,no,78.72
0.0300,yes,5.00
0.0200,yes,1.00
0.0200,yes,45.00
0.0200,yes,1.00
0.0100,no,1.00
0.0100,no,0.74
0.0100,no,29.26
0.0100,no,491.00
0.0100,no,100.00
0.0100,no,200.00
0.0200,yes,10.00
0.0200,yes,1.00
0.0100,no,9.00
