0.0100,yes,2.00
0.0100,yes,1.00
0.0100,yes,9.35
0.0100,yes,1.00
0.0100,yes,5.00
0.0100,yes,10.28
0.0100,yes,10.00
0.0100,no,2.00
0.0100,no,53.93
0.0100,no,60.18
0.0100,no,3.99
0.0100,no,6.07
0.0100,no,1.00
0.0100,no,0.34
0.0100,no,0.66
0.0100,no,1.00
0.0100,no,40.00
0.0100,no,21.11
0.0100,no,37.89
0.0100,no,9.00
0.0100,no,1.00
0.0200,yes,5.83
0.0200,yes,4.00
0.0200,yes,3.63
0.0200,yes,8.33
0.0200,yes,25.00
0.0100,no,10.09
0.0100,no,19.02
0.0100,no,10.98
0.0100,no,5.00
0.0100,no,10.00
0.0100,no,9.02
0.0100,no,25.98
0.0100,no,35.00
0.0100,no,1.00
0.0100,no,13.51
0.0100,no,38.02
0.0200,no,26.54
0.0200,no,3.00
0.0200,no,8.95
0.0200,no,10.09
0.0200,no,3.00
0.0200,no,2.77
0.0200,no,5.00
0.0200,no,2.23
0.0200,no,6.72
0.0200,no,2.49
0.0200,no,7.51
0.0200,no,1.75
0.0200,no,8.25
0.0300,yes,2.00
0.0300,yes,1.00
0.0300,yes,8.00
0.0300,yes,8.75
0.0400,yes,12.28
0.0400,yes,15.59
0.0300,yes,4.00
0.0300,yes,25.00
0.0300,yes,25.00
0.0300,yes,25.00
0.0300,yes,20.00
0.0200,no,8.94
0.0300,yes,5.00
0.0300,yes,25.00
0.0200,yes,30.98
0.0200,yes,25.00
0.0200,yes,25.00
0.0200,yes,3.00
0.0200,yes,25.00
0.0200,yes,25.00
0.0200,yes,25.00
0.0200,yes,25.00
0.0200,yes,18.71
0.0200,yes,8.81
0.0200,yes,14.71
0.0200,yes,25.00
0.0200,yes,25.00
0.0200,yes,3.00
0.0200,yes,25.00
0.0200,yes,25.00
0.0200,yes,25.00
0.0200,yes,25.00
0.0200,yes,19.13
0.0200,yes,25.00
0.0200,yes,16.08
0.0200,yes,25.00
0.0200,yes,25.00
0.0200,yes,2.50
0.0200,yes,25.00
0.0100,no,100.00
0.0200,yes,25.00
0.0200,yes,4.83
0.0200,yes,16.00
0.0200,yes,8.92
0.0200,yes,16.00
0.0200,yes,3.00
0.0200,no,3.00
0.0200,no,19.00
0.0200,yes,25.00
0.0200,yes,25.00
0.0200,yes,25.00
0.0200,yes,19.00
0.0200,no,3.00
0.0200,no,1.00
0.0200,no,2.00
0.0200,no,11.00
0.0200,no,2.00
0.0100,no,6.49
0.0200,no,39.90
0.0200,no,4.24
0.0200,no,1.00
0.0200,no,6.00
0.0200,no,15.00
0.0200,no,24.15
0.0200,no,0.75
0.0200,no,10.10
0.0200,no,22.86
0.0200,no,3.00
0.0200,no,1.82
0.0200,no,0.15
0.0200,no,25.00
0.0200,no,6.00
0.0200,no,30.41
0.0200,no,11.89
0.0200,no,3.00
0.0200,no,23.19
0.0200,no,30.41
0.0200,no,1.10
0.0200,no,44.59
0.0200,no,14.22
0.0200,no,41.19
0.0200,no,85.78
0.0200,no,14.22
0.0300,no,6.00
0.0300,no,17.00
0.0300,no,0.38
0.0300,no,9.62
0.0300,no,0.38
0.0300,no,9.62
0.0300,no,10.00
0.0300,no,10.27
0.0300,no,0.38
0.0300,no,0.38
0.0300,no,9.62
0.0300,no,0.38
0.0300,no,9.62
0.0300,no,9.62
0.0300,no,0.38
0.0300,no,10.00
0.0300,no,6.42
0.0200,no,10.78
0.0300,no,4.25
0.0300,no,2.05
0.0400,no,2.00
0.0400,no,0.72
0.0400,no,2.00
0.0500,yes,25.00
0.0500,yes,12.50
0.0400,no,1.22
0.0300,no,0.45
0.0300,no,6.55
0.0500,yes,1.00
0.0500,yes,7.00
0.0300,no,1.00
0.0300,no,0.55
0.0400,yes,1.00
0.0300,no,2.00
0.0300,no,3.00
0.0500,yes,41.63
0.0400,yes,59.00
0.0400,yes,6.00
0.0300,yes,9.00
0.0300,yes,25.00
0.0400,yes,7.26
0.0300,no,16.00
0.0200,no,10.18
0.0200,no,76.41
0.0400,yes,15.00
0.0400,yes,1.00
0.0400,yes,6.00
0.0400,yes,1.42
0.0600,no,0.70
0.0600,no,105.00
0.0600,no,25.30
0.0600,no,25.00
0.0600,no,10.00
0.0600,yes,100.00
0.0500,yes,3.00
0.0500,yes,31.00
0.0400,no,1.00
0.0400,no,1.00
0.0400,no,1.00
0.0400,no,1.00
0.0600,yes,3.00
0.0500,yes,31.00
0.0700,yes,15.29
0.0400,yes,3.00
0.0400,yes,1.00
0.0500,yes,12.00
0.0700,yes,2.41
0.0700,yes,30.00
0.0800,yes,6.00
0.0500,yes,11.00
0.0800,yes,7.74
0.0800,yes,44.71
0.0800,yes,13.00
0.0800,yes,1.00
0.0400,no,30.00
0.0700,yes,50.00
0.0500,yes,1.00
0.0500,yes,1.00
0.0700,yes,32.00
0.0400,yes,1.00
0.0700,yes,15.00
0.0300,no,10.28
0.0500,yes,1.00
0.0700,yes,81.12
0.0700,yes,50.00
0.0700,yes,3.00
0.0600,yes,30.00
0.0400,yes,7.08
0.0600,yes,20.00
0.0600,yes,16.39
0.0600,yes,1.00
0.0500,yes,1.00
0.0500,yes,6.00
0.0400,yes,2.34
0.0300,no,5.14
0.0400,yes,3.84
0.0400,yes,15.58
0.0400,yes,4.00
0.0300,no,1.00
0.0300,no,14.00
0.0300,no,4.88
0.0300,no,0.84
0.0300,no,2.00
0.0300,no,5.28
0.0400,yes,21.16
0.0400,yes,25.00
0.0400,yes,5.37
0.0300,no,5.00
0.0400,yes,1.00
0.0300,no,1.00
0.0300,no,4.00
0.0400,no,2.00
0.0400,no,0.09
0.0400,no,1.54
0.0400,no,15.00
0.0500,yes,4.00
0.0400,no,14.00
0.0400,no,1.81
0.0400,no,1.19
0.0400,no,5.00
0.0400,yes,2.00
0.0400,yes,5.00
0.0400,yes,488.20
0.0300,yes,0.55
0.0400,yes,19.00
0.0400,yes,41.00
0.0400,yes,0.25
0.0300,yes,4.00
0.0400,yes,120.00
0.0200,no,16.00
0.0300,yes,5.00
0.0300,no,1.64
0.0300,no,1.00
0.0300,no,1.81
0.0400,yes,117.12
0.0300,no,1.00
0.0300,no,3.00
0.0200,no,1.00
0.0200,no,4.00
